Title,Category,InvestType,NilaiBisnis,JumlahInvestor,DanaTerkumpul,Hari,SahamTersedia
Djakarta Cafe Sarinah,F&B,Saham,"Rp 1.459.600.000,00",234 orang,100%,Selesai,Saham Terpenuhi
Alfamart Simpang Segayam Sumatera Selatan,Ritel,Saham,"Rp 859.100.000,00",69 orang,100%,Selesai,Saham Terpenuhi
Alfamart Balai Jaya Riau,Ritel,Saham,"Rp 1.105.000.000,00",106 orang,100%,Selesai,Saham Terpenuhi
Alfamart MM 2100 Bekasi,Ritel,Saham,"Rp 1.060.000.000,00",86 orang,100%,Selesai,Saham Terpenuhi
Thai Street Green Sedayu Mall,F&B,Saham,"Rp 235.000.000,00",28 orang,100%,Selesai,Saham Terpenuhi
ISLA Holding,Ritel,Saham,"Rp 500.000.000,00",29 orang,100%,Selesai,Saham Terpenuhi
Donburi Ichiya Green Sedayu Mall,F&B,Saham,"Rp 1.640.000.000,00",145 orang,100%,Selesai,Saham Terpenuhi
Alfamart Perawang Riau,Ritel,Saham,"Rp 955.000.000,00",91 orang,100%,Selesai,Saham Terpenuhi
Chir Chir Chicken Factory Mall Kelapa Gading,F&B,Saham,"Rp 2.565.000.000,00",61 orang,100%,Selesai,Saham Terpenuhi
Lakoe Dessert Pondok Pinang,F&B,Saham,"Rp 264.600.000,00",52 orang,100%,Selesai,Saham Terpenuhi
Nasi Kapau H Rizal by Padang Sederhana Lintau 88 Tubagus Ismail,F&B,Saham,"Rp 2.755.000.000,00",161 orang,100%,Selesai,Saham Terpenuhi
Odysen Barbershop Asmawi Depok,Jasa,Saham,"Rp 240.000.000,00",24 orang,100%,Selesai,Saham Terpenuhi
Foresthree Coffee Kelapa Dua,F&B,Saham,"Rp 700.000.000,00",61 orang,100%,Selesai,Saham Terpenuhi
Tambak Udang Vaname Lampung 7,Agrikultur,Saham,"Rp 260.000.000,00",23 orang,100%,Selesai,Saham Terpenuhi
Tambak Udang Vaname Lampung 8,Agrikultur,Saham,"Rp 260.000.000,00",21 orang,100%,Selesai,Saham Terpenuhi
Flip Burger Karawaci,F&B,Saham,"Rp 2.010.000.000,00",163 orang,100%,Selesai,Saham Terpenuhi
Odysen Barbershop Ciputat Outlet ke 25 dan 26,Jasa,Saham,"Rp 400.000.000,00",44 orang,100%,Selesai,Saham Terpenuhi
Tambak Udang Vaname Lampung 5,Agrikultur,Saham,"Rp 260.000.000,00",19 orang,100%,Selesai,Saham Terpenuhi
Tambak Udang Vaname Lampung 6,Agrikultur,Saham,"Rp 260.000.000,00",22 orang,100%,Selesai,Saham Terpenuhi
Foresthree Coffee Menteng Huis,F&B,Saham,"Rp 165.000.000,00",17 orang,100%,Selesai,Saham Terpenuhi
Tambak Udang Vaname Lampung 2,Agrikultur,Saham,"Rp 260.000.000,00",18 orang,100%,Selesai,Saham Terpenuhi
Tambak Udang Vaname Lampung 4,Agrikultur,Saham,"Rp 260.000.000,00",20 orang,100%,Selesai,Saham Terpenuhi
Tambak Udang Vaname Lampung 3,Agrikultur,Saham,"Rp 260.000.000,00",15 orang,100%,Selesai,Saham Terpenuhi
Kontainer Kebab Baba Rafi Captain Hood,F&B,Saham,"Rp 260.000.000,00",15 orang,100%,Selesai,Saham Terpenuhi
Smokey Kontainer Kebab Baba Rafi Coco Kemang,F&B,Saham,"Rp 260.000.000,00",26 orang,100%,Selesai,Saham Terpenuhi
Nasi Kapau by Padang Sederhana Lintau 88,F&B,Saham,"Rp 1.634.850.000,00",121 orang,100%,Selesai,Saham Terpenuhi
Smokey Kontainer Kebab Baba Rafi Mampang,F&B,Saham,"Rp 260.000.000,00",17 orang,100%,Selesai,Saham Terpenuhi
Tambak Udang Vaname Lampung,Agrikultur,Saham,"Rp 260.000.000,00",21 orang,100%,Selesai,Saham Terpenuhi
Indomaret Karang Tanjung,Ritel,Saham,"Rp 970.000.000,00",45 orang,100%,Selesai,Saham Terpenuhi
Laundry Klin Jalan Raya Bangka,Laundry,Saham,"Rp 250.000.000,00",36 orang,100%,Selesai,Saham Terpenuhi
